symbol,total_dividend_yield_1Y,total_dividend_yield_3Y,total_dividend_yield_5Y,total_dividend_1Y,total_dividend_3Y,total_dividend_5Y
SH600000,0.029432878679,0.10806841287300001,0.208748039868,4.1,10.51,19.41
SH600004,0.016954643629,0.024801282283999998,0.029641099218,1.57,2.317,2.74
SH600006,0.000689655172,0.012035339211,0.030667668040999997,0.05,0.779,2.168
SH600007,0.049239033124,0.11956746908,0.182218746454,11.0,26.0,36.0
SH600008,0.06550901244,0.144367775509,0.200803419073,2.1,4.4,6.1
SH600009,0.015883762281,0.022400537682,0.022400537682,5.1,7.3034,7.3034
SH600010,0.001129943503,0.001129943503,0.008699664619,0.02,0.02,0.21
SH600011,0.036290322581,0.057680696913,0.10013352710199999,2.7,4.7,6.5
SH600012,0.036189334931,0.1322047263,0.240297843439,6.04,17.55,25.35
SH600015,0.052274938263000004,0.190114785219,0.30153476929,4.05,12.719999999999999,19.11
SH600016,0.042890257463,0.18642810962200002,0.286630902558,1.98,7.580000000000001,11.84
SH600017,0.037060185185,0.074249013357,0.099871405405,1.19,2.24,2.99
SH600018,0.034352233132999996,0.098188849399,0.160192359861,1.95,5.57,8.7496
SH600019,0.032311100342,0.11500595563800001,0.273768745678,2.2,7.4,18.2
SH600020,0.033864541833,0.077237797953,0.118561516144,1.7,3.38,4.73
SH600021,0.030701754386,0.054220388295000005,0.069583516787,2.8,5.15,6.25
SH600022,,0.020689655172,0.078293801076,,0.3,1.3
SH600023,0.060960424449,0.093094100542,0.154569510378,3.4,5.9,8.15
SH600025,0.019940179462,0.061957333244000004,0.11392470843,2.0,5.55,8.85
SH600026,0.020487804878,0.072487081542,0.104132651162,2.1,9.3,11.3
SH600027,0.039876805507,0.11093634734800001,0.237775835446,2.2,6.5,11.5
SH600028,0.039120483508,0.146480829014,0.314342378755,2.28,9.14,16.740000000000002
SH600030,0.018993947629000002,0.072573977694,0.115646710131,5.699999999999999,17.75,27.150000000000002
SH600031,0.033256841309,0.057891889768,0.10509141718,6.7,10.5,21.0
SH600032,0.006855696636999999,0.030331817916,0.033390961356,0.52,2.472,2.922
SH600033,0.013812154696,0.093045365048,0.181276941334,0.5,3.2,5.7
SH600035,0.038031319911,0.11600733596,0.180683268256,1.7,5.0,7.1
SH600036,0.06671491706299999,0.17592705975099998,0.24250966209,30.130000000000003,67.22999999999999,94.97999999999999
SH600037,0.003590425532,0.016250004535,0.026073510088,0.27,1.27,2.13
SH600038,0.005543478261,0.015156144428,0.032635941116,2.04,6.01,14.54
SH600039,0.045269196713000004,0.17973539073599998,0.260415166413,4.09,18.73,25.93
SH600048,0.021276595745,0.101126428602,0.1959561314,1.7,10.299999999999999,23.4
SH600050,0.031643512672,0.08873672428599999,0.145909859858,1.733,4.439,6.65
SH600051,0.016371077763,0.055272749799,0.098564450769,1.2,3.5999999999999996,6.6
SH600052,0.003976143141,0.016053437827,0.016053437827,0.2,0.7,0.7
SH600053,,0.012176560122,0.012176560122,,1.6,1.6
SH600054,0.014995640802,0.033639708599,0.04272252249,1.72,3.8099999999999996,4.83
SH600055,0.007523148148,0.021980242466,0.033078717002,1.3,3.8,6.1
SH600056,0.009867083472,0.043667976102,0.08101647552,1.0531000000000001,4.8479,10.3447
SH600057,0.035561877667,0.14842247396,0.251209355827,2.5,11.6,19.7
SH600059,0.007858546169,0.032414359224,0.043575762934,0.8,3.0,4.3
SH600060,0.038938053097,0.113084378889,0.138047983644,8.8,23.293000000000003,26.913000000000004
SH600061,0.016493506494,0.048603278479,0.086743688793,1.27,3.2931,6.7531
SH600062,0.024827134828,0.06079971736,0.12500898939,4.71,11.17,21.759999999999998
SH600063,0.013667425968,0.055476043462,0.091992897394,0.6,2.6,4.6
SH600064,0.036945812808,0.145552595778,0.252541284299,3.0,10.0,21.0
SH600066,0.054575276464,0.18064219952,0.27563041606399996,15.0,40.0,50.0
SH600067,0.065868263473,0.065868263473,0.08181359376899999,2.2,2.2,2.9000000000000004
SH600072,0.002318392581,0.007175734088000001,0.016814232564,0.3,1.08,2.28
SH600073,0.009589041096,0.04386205335,0.07258853966,0.7,3.04,5.34
SH600075,0.004739336493,0.02544327024,0.054715583475,0.2,1.2,3.2
SH600078,,0.013813319471,0.013813319471,,1.11,1.11
SH600079,0.015144344534,0.054275493893,0.066485056002,3.2,10.899999999999999,13.399999999999999
SH600080,0.004424778761,0.004424778761,0.017100835098999997,0.3,0.3,1.2
SH600081,0.00350140056,0.018528459522999998,0.037428299138,0.5,1.9682,4.4582
SH600082,,0.003278688525,0.006850117096000001,,0.06,0.16
SH600085,0.013664935775,0.045573881796,0.059366392853,5.0,18.2,23.8
SH600088,0.001987142022,0.003537529619,0.003537529619,0.34,0.56,0.56
SH600089,0.020064205457,0.083926184617,0.124991417959,2.5,15.7,23.599999999999998
SH600094,,,0.006613756614,,,0.25
SH600095,,0.013695403311,0.037847196604999994,,1.04,3.1167
SH600096,0.06593980165800001,0.164399481513,0.164399481513,16.0,36.0,36.0
SH600097,0.007850834151,0.04401533682,0.085965906504,0.8,4.03,8.23
SH600098,0.040971168437,0.111366579917,0.152607742525,2.7,7.2,9.9
SH600099,0.002620087336,0.009339375276000001,0.009339375276000001,0.3,0.82,0.82
SH600100,,,0.001803278689,,,0.11
SH600101,0.010041841004,0.026114003046999998,0.043690851288,1.2,3.0,4.3
SH600103,0.005529953917,0.030881756638,0.030881756638,0.12,0.7868999999999999,0.7868999999999999
SH600104,0.005014245014,0.055816177073,0.128270467449,0.88,7.9554,20.9754
SH600105,0.008143761234,0.018313252758999997,0.018313252758999997,0.85,1.21,1.21
SH600106,0.005863192182,0.025022074566,0.059367459742,0.36,1.3,2.4
SH600108,0.001851851852,0.005370635161,0.006543655689,0.055,0.15,0.19
SH600109,0.013043478261,0.037142005432,0.050708601911000004,1.2,3.0,4.3999999999999995
SH600110,,,0.004822580645,,,0.598
SH600111,0.001446280992,0.01255525746,0.028414411701,0.35,2.75,7.9
SH600113,0.008759124088,0.046547422746,0.081277067168,1.2,4.2,6.85
SH600114,0.014713094654,0.041800738148,0.067074754912,3.0,6.0,8.0
SH600116,0.005865102639,0.042921870196,0.067164836431,0.4,3.4,5.9
SH600118,0.000359195402,0.005009220296,0.011682845986,0.1,1.25,2.85
SH600120,0.014432989691,0.051291033576,0.074190830244,0.84,2.21,3.23
SH600123,0.022026431718,0.103993644833,0.158947291126,1.5,11.5,20.0
