SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
600968.SH,600968,海油发展,10114912,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-10 00:00:00,2025-04-10 00:00:00,CNY,52516934873.7,6.5080312654,52516934873.7,6.5080312654,,,,,,,,,,,48021656152.68,4.3877014351,44838140400.5,5.0870626494,,,,,986075513.11,-15.14266941,,,,,,,,,,,,,210308545.01,-1.5525398821,278632126.77,13.9281097154,1705470737.77,0.0084306577,,,3028829.52,-69.7183641557,119942258.87,24.7562422493,117536932.9,40.0156678905,,,,,,,52255153.19,272.2606636084,325821309.57,-14.0920612378,227591102.9,-9.5984399273,,,,,1308021.3,58.5400344157,-50013690.52,-65.4036403706,4455846.92,125.1725273486,180811833.4,-13.3231573393,,,0,,5009917194.88,29.8047383658,76035958.42,82.6188341322,,,506278763.56,973.2361731986,,,,,0,,4579674389.74,18.8277993056,823997626.5,20.1591180533,,,,,,,3755676763.24,18.5396439552,,,3755676763.24,18.5396439552,,,3656051382.59,18.6592800795,99625380.65,14.3101564862,3804879250.17,32.8853240227,,,,,0.3597,18.6737050478,0.3597,18.6737050478,14813158.25,-68.6253086108,14783476.49,-68.6786330908,29681.76,106.3514663433,,,,,-29040486.33,-503.4419155355,,,7310513.67,1.560545683,-36351000.0,,,,,,,,43823962.82,9.5567546366,1320319.63,-6.643060291,,,,,,,,,,,,,42503643.19,10.1505035889,,,,,,,,,3770489921.49,17.2597870531,3670834859.08,17.3415524226,99655062.41,14.3253447466,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-16 00:00:00,2025-04-10 00:00:00,CNY,49307957578.16,3.1882126407,49307957578.16,3.1882126407,,,,,,,,,,,46003174217.34,1.6765860955,42667612235.09,2.0942520368,,,,,1162039279.64,-12.6048819177,,,,,,,,,,,,,213625160.83,6.9769862847,244568375.15,4.2982465227,1705326967.49,1.0168826457,,,10002199.14,3842.3246237494,96141288.57,27.6298227787,83945557.43,105.3093155178,,,,,,,14037248.17,101.5549591831,379267986.48,5.5141700266,251755724.92,9.3146090262,,,,,825041.64,-63.1186861735,-30237357.78,51.4435574997,-17701229.83,85.0743388161,208604545.17,-22.7961972685,,,0,,3859579594.67,28.744603734,41636427.47,266.9905018155,,,47173099.1,90.5516210669,,,,,0,,3854042923.04,29.1376040976,685755388.23,40.7615189141,,,,,,,3168287534.81,26.8699752701,,,3168287534.81,26.8699752701,,,3081133966.21,27.5180513003,87153568.6,7.5468490962,2863280259.24,35.5674406215,,,,,0.3031,26.2916666667,0.3031,26.2916666667,47213717.79,-73.9612784563,47199333.71,-74.0142007121,14384.08,104.5820532256,,,,,7198182.74,-17.1779245915,,,7198182.74,-17.1779245915,,,,,,,,,40001150.97,-76.8704556244,1414270.47,-81.8318744312,,,,,,,,,,,,,38586880.5,-76.6366126218,,,,,,,,,3215501252.6,20.0444346253,3128333299.92,20.4192239516,87167952.68,7.9829004847,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-11 00:00:00,2024-04-16 00:00:00,CNY,47784486538.05,23.3488558637,47784486538.05,23.3488558637,,,,,,,,,,,45244609387.4,23.6435304537,41792374579.23,24.2915752325,,,,,1329638663.05,27.7763232873,,,,,,,,,,,,,199692633.2,10.8061868157,234489440.91,3.1128391121,1688160357.78,13.6040602948,,,253713.23,-99.2557540583,75328231.66,64.7963421758,40887359.26,28.6926807877,,,,,,,6964476.7,-17.7289215184,359447443.3,21.383129669,230303824.13,-3.9733427226,,,,,2237018.03,-27.0886385468,-62272597.05,91.5848997371,-118595951.04,-1133.5872264218,270199831.86,17.5616468484,,,0,,2997857372.45,54.9767612016,11345369.23,-75.8560356857,,,24756073.36,-59.8227537835,,,,,0,,2984446668.32,55.4589662698,487175325.7,-9.4925631216,,,,,,,2497271342.62,80.7660115492,,,2497271342.62,80.7660115492,,,2416233572.26,88.2524531964,81037770.36,-17.2972342375,2112070749.52,96.1028199545,,,,,0.24,84.6153846154,0.24,84.6153846154,181321182.42,708.892221545,181635104.57,710.0452598946,-313922.15,-6405.079986738,,,,,8691140.26,31.6652111641,,,8691140.26,31.6652111641,,,,,,,,,172943964.31,575.4476315949,7784349.93,496.916657597,,,,,,,,,,,,,165159614.38,579.923030383,,,,,,,,,2678592525.04,98.1625224458,2597868676.83,107.2106725173,80723848.21,-17.6135487144,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-19 00:00:00,2023-04-11 00:00:00,CNY,38739302609.21,16.655553374,38739302609.21,16.655553374,,,,,,,,,,,36592783481.17,15.9289279187,33624462881.79,16.4930332684,,,,,1040598624.88,21.6667786902,,,,,,,,,,,,,180217945.35,23.2206919811,227410517.38,1.8565673601,1486003540.19,7.8489043743,,,34089971.58,-65.3036053866,45709892.99,-41.1353747137,31771316.76,32.3619227403,,,,,,,8465279.45,222.9944283946,296126359.8,-3.490751664,239833219.92,-10.3510334222,,,,,3068133.67,343.1518018247,-740010161.55,-781.5141001882,-9613908.81,48.2815217072,229836718.95,7.2548373184,,,0,,1934391549.55,-6.3403589634,46990498.67,-41.5712835132,,,61617148.24,28.7846720832,,,,,0,,1919764899.98,-8.4919944679,538271044.35,8.5974134602,,,,,,,1381493855.63,-13.7785743056,,,1381493855.63,-13.7785743056,,,1283507083.83,-15.6470014041,97986771.8,21.4624460839,1077022120.34,-17.3786717608,,,,,0.13,-13.3333333333,0.13,-13.3333333333,-29778863.32,80.6450633471,-29774037.52,80.6474965509,-4825.8,13.698630137,,,,,6600938.99,114.574504811,,,6600938.99,114.574504811,,,,,,,,,-36374976.51,66.4932329091,-1961205.15,60.2758552658,,,,,,,,,,,,,-34413771.36,66.7894563569,,,,,,,,,1351714992.31,-6.6756935656,1253733046.31,-8.3353760431,97981946.0,21.4648834371,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-20 00:00:00,2022-04-19 00:00:00,CNY,33208279836.46,-0.762067068,33208279836.46,-0.762067068,,,,,,,,,,,31564842475.57,-2.1234086023,28863925969.14,-1.7924479902,,,,,855285753.5,6.2587711351,,,,,,,,,,,,,146256235.42,-15.2684527844,223265444.02,-21.5266243372,1377856871.9,-1.6051704279,,,98252201.59,-50.0062298093,77652567.68,-62.5779592476,24003366.0,39.129404825,,,,,,,2620874.76,-25.8066569782,306837287.52,5.0039490997,267524801.54,-2.5238456788,,,,,692343.72,-95.094765262,-83947626.18,-54.7672527786,-18588924.36,-796.5505424492,214290305.87,-13.4256711051,,,0,,2065341622.22,20.1150319552,80423636.69,151.4251673133,,,47845094.64,71.6632351579,,,,,0,,2097920164.27,21.7183794668,495657334.0,17.7835232303,,,,,,,1602262830.27,22.9894213613,,,1602262830.27,22.9894213613,,,1521590346.75,23.4004113778,80672483.52,15.7200698564,1303564277.28,27.8242586268,,,,,0.15,12.2754491018,0.15,12.2754491018,-153856681.91,-598.1398872539,-153851090.11,-597.6509766216,-5591.8,80.8631991496,,,,,-45291000.11,,,,-45291000.11,,,,,,,,,,-108560090.0,-451.1514593234,-4937060.73,-606.2806568035,,,,,,,,,,,,,-103623029.27,-446.0988633771,,,,,,,,,1448406148.36,8.6045867171,1367739256.64,8.2100673738,80666891.72,15.7605693436,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-04-10 00:00:00,2021-04-20 00:00:00,CNY,33463292568.99,15.4912336356,33463292568.99,15.4912336356,,,,,,,,,,,32249633977.65,15.3383911081,29390739692.06,15.7145151506,,,,,804908380.14,25.6729145681,,,,,,,,,,,,,172611312.11,-8.741211528,284511074.15,15.3807092141,1400334629.26,11.7851312665,,,196528889.93,-15.5148910718,207504898.5,-17.6314436195,17252547.03,71.7267460211,,,,,,,3532493.15,,292214997.77,41.5568123921,274451534.74,53.9326306906,,,,,14114385.08,230.3858745554,-54241207.15,-806.0319939296,2668711.49,,247521763.79,37.7884048496,,,0,,1719469735.47,21.7853273258,31987106.76,-14.0431967673,,,27871486.05,80.3459121934,,,,,0,,1723585356.18,20.2240550727,420820604.11,35.6411794036,,,,,,,1302764752.07,15.9663573156,,,1302764752.07,15.9663573156,,,1233051275.73,15.6813239632,69713476.34,21.250574159,1019809769.51,12.7606183452,,,,,0.1336,4.0498442368,0.1336,4.0498442368,30886240.16,-43.6659285955,30915460.3,-43.6055136273,-29220.14,-522.1447218438,,,,,,,,,,,,,,,,,,,30915460.3,-43.6055136273,975162.82,-68.3365091112,,,,,,,,,,,,,29940297.48,-42.1334331794,,,,,,,,,1333650992.23,13.1914605346,1263966736.03,12.7813180859,69684256.2,21.1851630389,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2019-06-05 00:00:00,2020-04-10 00:00:00,CNY,28974746840.59,22.2374150524,28974746840.59,22.2374150524,,,,,,,,,,,27960884201.54,24.1192702167,25399354310.74,24.9132962102,,,,,640478803.97,22.0736602461,,,,,,,,,,,,,189144864.84,-10.6426417997,246584612.01,31.6558428414,1252702048.47,21.8281772483,,,232619561.51,-10.8218600875,251922466.07,-3.4154466258,10046511.35,-7.9650683046,,,,,,,,,206429484.27,58.482011582,178293279.02,76.2880418387,,,,,4272090.96,560.8625564621,7682542.38,,,,179639037.16,-8.3544488446,,,0,,1411885793.82,-5.97299642,37213001.83,-3.2154647855,,,15454459.55,49.3242044392,,,,,0,,1433644336.1,-6.2778186093,310245462.3,6.4501272208,,,,,,,1123398873.8,-9.273647727,,,1123398873.8,-9.273647727,,,1065903495.47,-9.432264357,57495378.33,-6.2290604607,904402427.44,-8.9952452395,,,,,0.1284,-9.4499294781,0.1284,-9.4499294781,54826926.92,255.9891044059,54820005.09,256.0953745634,6921.83,124.4042976876,,,,,,,,,,,,,,,,,,,54820005.09,256.0953745634,3079770.4,169.4166604647,,,,,,,,,,,,,51740234.69,268.6288204946,,,,,,,,,1178225800.72,-2.0658672442,1120723500.56,-1.8453413109,57502300.16,-6.1743692707,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2019-06-05 00:00:00,2019-06-13 00:00:00,CNY,23703664567.97,22.3350466499,23703664567.97,22.3350466499,,,,,,,,,,,22527432003.68,20.8509156252,20333587441.33,23.5934365213,,,,,524665847.39,2.602295684,,,,,,,,,,,,,211672400.18,6.9132038861,187294848.97,16.2427658167,1028253132.21,2.3656332958,,,260848187.39,8.1315952391,260831010.0,5.7496971122,10915976.32,-17.8521828354,-18889853.79,-126.0575614271,,,,,,,130254205.01,14.4765507476,101137477.71,11.4284591868,,,,,-926977.23,83.9546450753,,,,,196015010.98,,,,0,,1501574803.05,78.0495105254,38449326.38,-70.7050304608,,,10349601.13,148.3961046601,,,,,0,,1529674528.3,57.6286735821,291446774.56,-6.9144002842,,,,,,,1238227753.74,88.3712687333,,,1238227753.74,88.3712687333,,,1176913045.14,89.1851409866,61314708.6,74.0029626629,993796895.36,88.0349492818,,,,,0.1418,89.0666666667,0.1418,89.0666666667,-35147920.83,-171.759437371,-35119557.67,-171.7032969213,-28363.16,-2449.9084499457,,,,,,,,,,,,,,,,,,,-35119557.67,-171.7032969213,-4436644.43,-239.7323548442,,,,,,,,,,,,,-30682913.24,-166.9875589768,,,,,,,,,1203079832.91,70.3321838521,1141793487.47,70.1439663611,61286345.44,73.9165146773,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2016-12-31 00:00:00,年报,2016年报,058001001,2018-01-05 00:00:00,2019-06-13 00:00:00,CNY,19376021195.14,-28.7116457727,19376021195.14,-28.7116457727,,,,,,,,,,,18640679623.43,-26.6324439828,16451996168.76,-27.1647981351,,,,,511358779.93,,,,,,,,,,,,,,197985274.49,-66.6237843975,161123875.24,-39.2751655119,1004490568.86,-36.7253263867,,,241232164.21,33.9853403424,246649415.67,,13288212.27,,72492791.94,-62.4776761693,,,,,,,113782433.31,23.0687055565,90764494.5,31.6633416405,,,,,-5777231.07,,,,,,,,,,0,-100.0,843346773.95,-54.7800307536,131248903.77,-78.1632151054,,,4166571.43,-80.8023948562,,,,,0,,970429106.29,-60.2987508641,313095447.04,-52.9201159526,,,,,,,657333659.25,-63.056585373,,,657333659.25,,,,622095920.96,-65.1640469462,35237738.29,643.0966245396,528517118.31,-61.2750068849,,,,,0.075,-74.7983870968,0.075,-74.7983870968,48980206.81,1490.9379546562,48978999.82,,1206.99,,,,,,,,,,,,,,,,,,,,48978999.82,,3175101.74,,,,,,,,,,,,,,45803898.08,,,,,,,,,,706313866.06,-60.3723708746,671074920.78,-62.4860088278,35238945.28,643.1152271011,,,,,,,,,,,标准无保留意见
600968.SH,600968,海油发展,10114912,通用,2015-12-31 00:00:00,年报,2015年报,058001001,2016-07-01 00:00:00,2018-01-05 00:00:00,CNY,27179784700.0,-21.3676952592,27179784700.0,-21.3676952592,,,,,,,,,,,25407251700.0,-20.6737707154,22587973600.0,-22.5172608542,,,,,,,,,,,0.0,,,,,,,,593192700.0,-17.5785268022,265334400.0,-12.1078366259,1587508100.0,-1.7694100799,,,180043700.0,70.495605122,,,,,193199100.0,44.9859178394,,,0.0,,,,92454400.0,-22.5327282599,68936800.0,-10.9693350415,,,,,,,,,,,,,,,100,,1864987500.0,-29.7874635335,601045000.0,260.5222322393,173517000.0,9562.3788840628,21703600.0,152.8260565677,9237400.0,71.4089551131,0.0,,0,-100.0,2444328900.0,-13.1471575973,665030200.0,2.6833095628,,,,,,,1779298600.0,-17.8791073171,-6589300.0,-105.9600768108,,,,,1785787000.0,-16.239307981,-6488300.0,-118.7138028104,1364795900.0,-29.1346987372,,,,,0.2976,-16.2397973543,0.2976,-16.2397973543,3078700.0,543.6806456262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782377300.0,-17.7106605526,1788865700.0,-16.0675635052,-6488300.0,-118.7134789656,,,,,,,,,,,
