symbol,relevant_stock
SH688037,"SH688037,SH688012,SH688008,SH688019,SH688063,SH688081,SH688096"
SH600463,"SH600463,SH600585,SH600516,SH600809,SH600309,SH600019,SH600028"
SZ300667,"SZ300667,SZ300750,SZ300672,SZ300747,SZ300698,SZ300739,SZ300782"
SH603270,"SH603270,SH603009,SH603305,SH603606,SH603659,SH603997,SH603033,SH603678"
SZ301289,"SZ301289,SZ300506,SZ300595,SZ300769,SZ300803,SZ300815,SZ300820,SZ300821"
SZ002864,"SZ002864,SZ002938,SZ002812,SZ002709,SZ002906,SZ002920,SZ002916"
SZ000551,"SZ000551,SZ000703,SZ000725,SZ000738,SZ000756,SZ000761,SZ000783,SZ000858"
SH600460,"SH600460,SH600585,SH600876,SH600176,SH600487,SH600309,SH600519,SH600703"
SH688596,"SH688596,SH688012,SH688008,SH688019,SH688086,SH688063,SH688037"
SZ301520,"SZ301520,SZ300750,SZ300782,SZ300747,SZ300896,SZ300976,SZ300988,SZ301029"
SZ301111,"SZ301111,SZ300506,SZ300751,SZ300747,SZ300769,SZ300782,SZ300803,SZ300806"
SZ002119,"SZ002119,SZ002008,SZ002245,SZ002475,SZ002506,SZ002600,SZ002709,SZ002733"
SH603788,"SH603788,SH603338,SH603035,SZ002829,SZ002906,SH603659,SZ002920"
BJ920394,"BJ920394,600585,600487,600111,600870,600089,600362,600761"
SZ300549,"SZ300549,SZ300750,SZ300782,SZ300769,SZ300747,SZ300751,SZ300755"
SZ301598,"SZ301598,SZ300750,SZ300782,SZ300747,SZ300803,SZ300801,SZ300769"
SH600761,"SH600761,SH600585,SH600519,SH600809,SH600702,SH600059,SH600132,SH600779"
SH688311,"SH688311,SH688007,SH688012,SH688019,SH688029,SH688036,SH688086,SH688111"
SZ000333,"SZ000333,SZ000858,SH600519,SZ000568,SH600809,SH603198,SZ002304,SH600702"
SZ002225,"SZ002225,SZ002008,SZ002129,SZ002475,SZ002508,SZ002510,SZ002511,SZ002512"
SZ000603,"SZ000603,SZ000703,SZ000709,SZ000725,SZ000729,SZ000732,SZ000735"
SH603920,"SH603920,SH603305,SH603019,SH603035,SH603037,SH603039,SH603050"
SH688210,"SH688210,SH688012,SH688008,SH688019,SH688086,SH688169,SZ300751,SZ300782"
SZ000663,"SZ000663,SZ000725,SZ002005,SZ002013,SZ002028,SZ002030,SZ002032"
SZ002708,"SZ002708,SZ002008,SZ002475,SZ002829,SZ002916,SZ002933,SZ002958,SZ003009"
BJ920438,"BJ920438,603026,603027,603028,603029,603030,603031,603032"
SZ000506,"SZ000506,SZ000703,SZ000725,SZ000738,SZ000756,SZ000858,SZ000869,SZ000930"
SZ300004,"SZ300004,SZ300014,SZ300033,SZ300059,SZ300070,SZ300104,SZ300124"
SZ003038,"SZ003038,SZ002812,SZ002932,SZ002993,SZ002967,SZ002986,SZ002995"
SH601968,"SH601968,SH600019,SH601857,SH600028,SH600036,SH601398,SH601288"
SH688381,"SH688381,SH688007,SH688012,SH688019,SH688025,SH688037,SH688063,SH688086"
SZ301336,"SZ301336,SZ300750,SZ300747,SZ300769,SZ300782,SZ300787,SZ300793,SZ300803"
SZ301611,"SZ301611,SZ300750,SZ300450,SZ300782,SZ300531,SZ300747,SZ300751"
SH603730,"SH603730,SH603026,SH603305,SH603035,SH603606,SH603650,SH603032"
