symbol,company,最新价,10日涨跌幅,10日主力净流入-净额,big_money_net_inflow_ratio_10d,10日超大单净流入-净额,10日超大单净流入-净占比,10日大单净流入-净额,10日大单净流入-净占比,10日中单净流入-净额,10日中单净流入-净占比,10日小单净流入-净额,10日小单净流入-净占比
SH600150,中国船舶,37.32,12.75,3053796873.0,8.73,2597803161.0,7.42,455993712.0,1.3,-1253760656.0,-3.58,-1800036160.0,-5.14
SH688818,C电科,55.2,482.89,2517080596.0,13.99,1639109604.0,9.11,877970992.0,4.88,368247968.0,2.05,-2885328582.0,-16.04
SH603986,兆易创新,323.05,13.99,2076618944.0,2.77,2074011472.0,2.76,2607472.0,0.0,-1407377456.0,-1.87,-669241440.0,-0.89
SH600111,北方稀土,54.94,15.27,2058182256.0,2.85,1804750208.0,2.5,253432048.0,0.35,-1264380256.0,-1.75,-793802096.0,-1.1
SZ000338,潍柴动力,29.1,28.93,1988345740.0,6.15,515271084.0,1.59,1473074656.0,4.56,644757664.0,2.0,-2633103424.0,-8.15
SZ300418,昆仑万维,63.0,19.54,1851310800.0,2.41,2053718256.0,2.67,-202407456.0,-0.26,-935370800.0,-1.22,-915939936.0,-1.19
SZ002384,东山精密,78.91,1.34,1844955952.0,4.04,2430471376.0,5.32,-585515424.0,-1.28,-1765654400.0,-3.87,-79301552.0,-0.17
SZ002371,北方华创,487.33,5.57,1484703452.0,4.42,202714828.0,0.6,1281988624.0,3.81,-1478913280.0,-4.4,-5790151.0,-0.02
SH688521,芯原股份,257.53,23.9,1355358448.0,3.01,565291344.0,1.26,790067104.0,1.75,-1626709872.0,-3.61,271351409.0,0.6
SH601390,中国中铁,6.05,12.66,1338174243.0,6.17,1425712739.0,6.57,-87538496.0,-0.4,-824126832.0,-3.8,-514047348.0,-2.37
