symbol,company,industry_category_id,industry_category_name,industry_sub_category_id,industry_sub_category_name,industry_type_id,industry_type_name,list_date
BJ430017,星昊医药,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,
BJ430047,诺思兰德,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,
BJ430090,同辉信息,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,
BJ430139,华岭股份,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,
BJ430198,微创光电,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,
BJ430300,辰光医疗,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,
BJ430418,苏轴股份,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,
BJ430425,乐创技术,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,
BJ430476,海能技术,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,
BJ430478,峆一药业,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,
BJ430510,丰光精密,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,
BJ430556,雅达股份,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,
BJ430564,天润科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,
BJ430685,新芝生物,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,
BJ430718,合肥高科,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,
BJ830779,武汉蓝电,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,
BJ830809,安达科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,
BJ830832,齐鲁华信,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,
BJ830839,万通液压,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,
BJ830879,基康技术,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,
BJ830896,旺成科技,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,
BJ830946,森萱医药,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,
BJ830964,润农节水,E,建筑业,,,48.0,土木工程建筑业,
BJ830974,凯大催化,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,
BJ831010,凯添燃气,D,电力、热力、燃气及水生产和供应业,,,45.0,燃气生产和供应业,
BJ831039,国义招标,M,科学研究和技术服务业,,,74.0,专业技术服务业,
BJ831087,秋乐种业,A,农、林、牧、渔业,,,5.0,农、林、牧、渔专业及辅助性活动,
BJ831152,昆工科技,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,
BJ831167,鑫汇科,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,
BJ831175,派诺科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,
BJ831195,三祥科技,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,
BJ831278,泰德股份,C,制造业,CG,专用、通用及交通运输设备,36.0,汽车制造业,
BJ831304,迪尔化工,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,
BJ831305,海希通讯,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,
BJ831370,新安洁,N,水利、环境和公共设施管理业,,,78.0,公共设施管理业,
BJ831396,许昌智能,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,
BJ831526,凯华材料,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,
BJ831627,力王股份,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,
BJ831641,格利尔,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,
BJ831689,克莱特,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,
BJ831726,朱老六,C,制造业,CA,食品、饮料、烟草,14.0,食品制造业,
BJ831768,拾比佰,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,
BJ831832,科达自控,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,
BJ831834,三维装备,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,
BJ831855,浙江大农,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,
BJ831856,浩淼科技,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,
BJ831906,舜宇精工,C,制造业,CG,专用、通用及交通运输设备,36.0,汽车制造业,
BJ831961,创远信科,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,
BJ832000,安徽凤凰,C,制造业,CG,专用、通用及交通运输设备,36.0,汽车制造业,
BJ832023,田野股份,C,制造业,CA,食品、饮料、烟草,15.0,酒、饮料和精制茶制造业,
BJ832089,禾昌聚合,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,
BJ832110,雷特科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,
BJ832145,恒合股份,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,
BJ832149,利尔达,F,批发和零售业,,,51.0,批发业,
BJ832171,志晟信息,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,
BJ832175,东方碳素,C,制造业,CF,金属、非金属,30.0,非金属矿物制品业,
BJ832225,利通科技,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,
BJ832278,鹿得医疗,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,
