symbol,company,industry_category_name,industry_sub_category_name,industry_type_name,close,overall_signal_count,buy_signal_count,sell_signal_count,rsi_less_than_10_buy,close_less_than_boll_lb_buy,ewm_short_term_more_than_long_term_buy,macd_buy,rsi_plus_macd_buy,trix_buy,wr_more_than_90_buy,rsi_more_than_90_sell,close_more_than_boll_ub_sell,ewm_short_term_less_than_long_term_sell,macd_sell,rsi_plus_macd_sell,trix_sell,wr_less_than_10_sell,growth_1Y,growth_2Y,growth_3Y,total_dividend_yield_1Y,total_dividend_yield_3Y,total_dividend_yield_5Y,total_dividend_1Y,total_dividend_3Y,total_dividend_5Y,fundamental_rank,roe,netcash_operate_over_net_profit,debt_to_asset,inventory_turnover,ev_over_ebitda,big_money_net_inflow_ratio_10d,boards
SZ002109,兴化股份,制造业,石油、化学、生物医药,化学原料和化学制品制造业,4.43,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.2458215361077582,-0.1466562022340541,-0.20298969010083,0.0,0.032119914347,0.0569955362379999,0.0,1.5,3.0,125.0,-0.0757363370854104,-1.539543836594075,0.3293756848237623,13.658324939422233,7.142435453647504,-4.75,
SH688563,航材股份,制造业,专用、通用及交通运输设备,铁路、船舶、航空航天和其他运输设备制造业,75.76,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.2291552413220181,0.1522025879404411,,0.009979609536,0.021508464528,0.021508464528,5.3245000000000005,11.8945,11.8945,80.0,0.0570373181563979,0.037212459581706,0.0391142657633158,1.675216679596684,32.977147854837945,-2.85,
SZ300088,长信科技,制造业,电气、电子及通讯,计算机、通信和其他电子设备制造业,6.65,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,-0.0001974670276599,0.0255574191983709,0.0352390708731618,0.01024171875,0.041108546674,0.060954450741,0.589923,2.289922,3.789897,86.0,0.0430394191709286,-0.0210987956529306,0.2467586729310381,7.93785096789538,9.957918831382711,-1.14,
SH603393,新天然气,电力、热力、燃气及水生产和供应业,,燃气生产和供应业,31.59,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,-0.0100170655720128,-0.043615150659896,0.3033458606678854,0.0,0.046181640481,0.097339008146,0.0,15.0,26.5,14.0,0.1532357576618002,1.7193846284596792,0.1835523838243801,40.645014057029655,3.545726552307657,-3.91,
SH600968,海油发展,采矿业,,开采专业及辅助性活动,4.65,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.020564679696164,0.4670710695536331,0.4046233878442919,0.031839622642,0.086272870416,0.125521728477,1.35,3.3000000000000003,4.300000000000001,15.0,0.14118653932038,1.4789840542102703,0.0407725526865498,50.86607828274702,4.282377835856159,-4.99,
SZ300018,中元股份,制造业,电气、电子及通讯,电气机械和器材制造业,12.8,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.7770588171656689,1.0105399150541228,0.9397073430070886,0.010218978102,0.028611729612,0.028611729612,0.7,1.7,1.7,76.0,0.0612642171750248,1.496495371019492,0.002765105208676,2.177501982029362,32.38607208303514,0.69,
SZ300823,建科智能,制造业,专用、通用及交通运输设备,专用设备制造业,18.24,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.2919686251799465,-0.186593476010076,0.020180846783413,0.023335719399,0.08204652065,0.124836942492,3.26,14.47,24.1,84.0,0.0462519908611864,1.363785381815724,0.0350206231926615,1.1251618974594242,13.073377260428538,-1.35,
SZ300936,中英科技,制造业,电气、电子及通讯,计算机、通信和其他电子设备制造业,43.25,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.0526295615900653,0.0230261500286463,0.5956102038257969,0.002751031637,0.02338782409,0.048371126373,1.0,8.0,17.0,103.0,0.0308672735662917,0.692109826480206,0.0030225713760592,4.409292018859748,26.715492284839662,-5.51,
SZ301499,维科精密,制造业,专用、通用及交通运输设备,汽车制造业,32.44,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.2003581267612588,0.0368098302315862,,0.004600162677,0.01248666765,0.01248666765,1.22,2.9,2.9,101.0,0.0362070723214038,1.626906639513526,0.0140696616609789,3.4354529931147417,22.046459947929726,-2.11,
SZ301595,太力科技,制造业,石油、化学、生物医药,橡胶和塑料制品业,58.87,1,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,,,,0.006223549913,0.006223549913,0.006223549913,2.5,2.5,2.5,9.0,0.1975109049073533,1.0206681989625277,0.0725494749479294,4.226635445797422,-2.2282806862368214,0.61,
