symbol,growth_1Y,growth_2Y,growth_3Y,close,rsi_12,boll,boll_ub,boll_lb,close_xu_close_20_sma,close_10_sma_xd_close_50_sma,macds,macd,trix,wr_6,rolling_mean_short_term,rolling_mean_long_term,macd_buy,macd_sell,rsi_plus_macd_buy,rsi_plus_macd_sell,trix_buy,trix_sell,rsi_less_than_10_buy,rsi_more_than_90_sell,close_less_than_boll_lb_buy,close_more_than_boll_ub_sell,wr_less_than_10_sell,wr_more_than_90_buy,ewm_short_term_more_than_long_term_buy,ewm_short_term_less_than_long_term_sell,buy_signal_count,sell_signal_count,overall_signal_count
SZ002109,0.24582153610775825,-0.14665620223405418,-0.20298969010083,4.43,62.272389029196304,4.1594999999999995,4.494508248130816,3.824491751869183,False,False,0.1270657632917227,0.1312537425256446,0.5340255085153406,-16.666666666666792,4.3053429370145,4.078437613854268,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SH688563,0.22915524132201814,0.15220258794044117,,75.76,64.53478063209172,70.099,76.88237875755249,63.31562124244753,False,False,3.031821101950382,3.1379786568791275,0.690886666975859,-30.678466076696065,73.5845807906655,67.77727726178911,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SZ300088,-0.00019746702765999213,0.025557419198370956,0.035239070873161804,6.65,58.302811277929585,6.499,6.883921044535824,6.1140789554641755,True,False,0.07046990082346634,0.07160191484532064,0.14058012926289135,-21.212121212121023,6.554326128861697,6.415227473235593,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SH603393,-0.010017065572012873,-0.043615150659896074,0.3033458606678854,31.59,64.66884832729141,29.6895,31.754409581301186,27.624590418698812,True,False,0.430418270240506,0.48507335300233834,0.2165462047095974,-5.610561056105665,30.21061655230739,29.172336314263138,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SH600968,0.020564679696164045,0.4670710695536331,0.40462338784429197,4.65,63.72312387295934,4.3255,4.7275722637326005,3.9234277362673997,False,False,0.10712868135498729,0.11638493008046957,0.4031210249187544,-4.651162790697579,4.45417210328447,4.226986083086565,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SZ300018,0.7770588171656689,1.0105399150541228,0.9397073430070886,12.8,61.61055629834207,12.384,13.189413264303106,11.578586735696895,False,False,0.13699054185526446,0.14676763784690294,0.07767420773078856,-5.376344086021392,12.510209805802411,12.168945072962527,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SZ300823,0.2919686251799465,-0.18659347601007603,0.02018084678341303,18.24,73.56807414808063,17.563,18.395475066799907,16.73052493320009,False,False,0.45458758093360174,0.4556534969255601,0.4360799711256836,-15.714285714286078,17.98995698127712,17.214339764299137,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SZ300936,0.05262956159006538,0.023026150028646386,0.5956102038257969,43.25,64.34517900414242,41.911,43.54940615747303,40.27259384252697,False,False,0.8013980296314421,0.8052332630999643,0.2781780238695956,-27.111111111111086,42.66718199577466,41.19700877315551,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SZ301499,0.20035812676125886,0.03680983023158624,,32.44,60.20868514137449,31.523000000000003,34.0763886668916,28.969611333108407,True,False,0.14802742842644312,0.1966957454729048,-0.0065092689582444095,-5.5045871559635025,31.609579763259784,31.006857513805244,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
SZ301595,,,,58.87,64.73670102312929,55.278999999999996,60.828330542839794,49.7296694571602,False,False,1.8504413308415042,1.8881930762211354,0.3696520371974858,-29.9283154121864,56.7413807511978,52.76240229292392,True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,1
