observation_date,M0264AUSM500NNBR
1938-01-01,99
1938-02-01,210
1938-03-01,495
1938-04-01,546
1938-05-01,588
1938-06-01,558
1938-07-01,629
1938-08-01,625
1938-09-01,658
1938-10-01,645
1938-11-01,600
1938-12-01,536
1939-01-01,537
1939-02-01,712
1939-03-01,836
1939-04-01,837
1939-05-01,787
1939-06-01,718
1939-07-01,638
1939-08-01,665
1939-09-01,725
1939-10-01,774
1939-11-01,661
1939-12-01,592
1940-01-01,540
1940-02-01,754
1940-03-01,1017
1940-04-01,1093
1940-05-01,1084
1940-06-01,1000
1940-07-01,997
1940-08-01,1017
1940-09-01,1069
1940-10-01,926
1940-11-01,784
1940-12-01,651
1941-01-01,693
1941-02-01,961
1941-03-01,1194
1941-04-01,1464
1941-05-01,1645
1941-06-01,1554
1941-07-01,1349
1941-08-01,1210
1941-09-01,1080
1941-10-01,886
1941-11-01,930
1941-12-01,712
