symbol,industry_category_name,industry_type_name,industry_sub_category_name
Stock_1,Technology,Banking,SaaS
Stock_2,Technology,Chemicals,Basic
Stock_3,Technology,Banking,Parts
Stock_4,Manufacturing,Banking,Commercial
Stock_5,Manufacturing,Semiconductor,Chips
Stock_6,Technology,Software,Parts
Stock_7,Manufacturing,Chemicals,SaaS
Stock_8,Technology,Banking,Basic
Stock_9,Manufacturing,Banking,Parts
Stock_10,Manufacturing,Banking,Parts
Stock_11,Technology,Banking,SaaS
Stock_12,Manufacturing,Software,Parts
Stock_13,Finance,Auto,Parts
Stock_14,Finance,Banking,Chips
Stock_15,Technology,Software,Parts
Stock_16,Technology,Auto,SaaS
Stock_17,Finance,Semiconductor,Chips
Stock_18,Manufacturing,Chemicals,Basic
Stock_19,Finance,Semiconductor,Chips
Stock_20,Technology,Chemicals,Chips
