Date,Total Equity,Domestic Equity,World Equity,Hybrid,Total Bond,Taxable Bond,Municipal Bond,Total
2022-07-06,10167,,3058,,842,,2216,
2022-07-13,7409,,2808,,2067,,741,
2022-07-20,3468,,102,,-417,,519,
2022-07-27,14213,,9667,,8598,,1069,
2022-08-03,9786,,4016,,3079,,937,
2022-08-10,19451,,11106,,11532,,-426,
2022-08-17,20743,,15969,,17094,,-1125,
2022-08-24,3908,,6602,,7281,,-679,
2022-08-31,-5292,,-5345,,-5281,,-64,
2022-09-07,-5058,,-7067,,-5688,,-1379,
2022-09-14,20797,,15104,,15639,,-535,
2022-09-21,-4290,,-3367,,-2269,,-1098,
2022-09-28,2326,,5654,,3947,,1707,
2022-10-05,21289,,10472,,7344,,3128,
2022-10-12,12781,,9106,,8080,,1026,
2022-10-19,17887,,14550,,13107,,1443,
2022-10-26,30922,,21516,,18904,,2612,
2022-11-02,22494,,19505,,16727,,2778,
2022-11-09,8832,,3613,,242,,3371,
2022-11-16,39995,,28388,,23164,,5225,
2022-11-22,12341,,3437,,785,,2652,
2022-11-30,-931,,-629,,-3570,,2941,
2022-12-07,-88,,-4661,,-6750,,2089,
2022-12-14,47630,,41257,,35465,,5791,
2022-12-21,-20900,,-16192,,-17891,,1698,
2022-12-28,13809,,8720,,7449,,1271,
2023-01-04,1108,,-4212,,-5352,,1140,
2023-01-11,15566,,4259,,-651,,4910,
2023-01-18,8870,,3871,,-512,,4383,
2023-01-25,9347,,3931,,-3481,,7412,
2023-02-01,6019,,8703,,4668,,4034,
2023-02-08,6957,,5626,,3118,,2508,
2023-02-15,2480,,4084,,2006,,2078,
2023-02-22,-2172,,-1905,,-3549,,1644,
2023-03-01,-246,,-4107,,-6014,,1907,
2023-03-08,7766,,2885,,2715,,170,
2023-03-15,5032,,2945,,4240,,-1295,
2023-03-22,17364,,7317,,7026,,291,
2023-03-29,-1060,,-5327,,-5467,,140,
2023-04-05,9395,,-1781,,-3385,,1604,
2023-04-12,11470,,6781,,6155,,626,
2023-04-19,9132,,6712,,4780,,1932,
2023-04-26,9726,,7346,,6876,,470,
2023-05-03,-5207,,-6552,,-5669,,-883,
2023-05-10,5619,,1355,,-7,,1363,
2023-05-17,1871,,-2971,,-4210,,1239,
2023-05-24,14971,,8226,,6493,,1733,
2023-05-31,6535,,6319,,5413,,906,
2023-06-07,12933,,9312,,7660,,1651,
2023-06-14,40456,,36430,,29088,,7341,
2023-06-21,-3458,,-7908,,-11058,,3150,
2023-06-28,12541,,12838,,13564,,-726,
2023-07-05,22545,,19017,,18476,,541,
2023-07-12,9789,,5601,,3729,,1872,
2023-07-19,13759,,10945,,7877,,3068,
2023-07-26,17071,,10456,,8397,,2058,
2023-08-02,8089,,7292,,7266,,26,
2023-08-09,2132,,-45,,-773,,728,
2023-08-16,2020,,3971,,4092,,-120,
2023-08-23,-4127,,-5909,,-6392,,484,
2023-08-30,10617,,6659,,6687,,-29,
2023-09-06,5238,,4303,,3664,,639,
2023-09-13,27062,,23078,,23324,,-246,
2023-09-20,360,,-3378,,-4092,,714,
2023-09-27,5215,,5960,,6934,,-974,
2023-10-04,8649,,5436,,4949,,487,
2023-10-11,6162,,217,,334,,-118,
2023-10-18,4532,,4503,,4147,,355,
2023-10-25,8229,,3791,,4945,,-1153,
2023-11-01,11651,,4052,,5714,,-1662,
2023-11-08,27713,,14756,,13767,,989,
2023-11-15,29726,,20456,,19339,,1117,
2023-11-21,27892,,23355,,19609,,3747,
2023-11-29,17404,,16224,,14982,,1242,
2023-12-06,16544,,14314,,12377,,1937,
2023-12-13,31026,,28179,,25856,,2323,
2023-12-20,31394,,29220,,22085,,7135,
2023-12-27,33594,,27384,,20050,,7334,
2024-01-03,13561,,7688,,5922,,1765,
2024-01-10,5696,,1896,,1506,,390,
2024-01-17,6796,,-284,,-699,,415,
2024-01-24,11768,,8246,,7116,,1130,
2024-01-31,21078,,19256,,16935,,2322,
2024-02-07,-5419,,-7514,,-10354,,2840,
2024-02-14,22950,,19028,,17251,,1777,
2024-02-21,6125,,4474,,2666,,1809,
2024-02-28,20441,,19917,,17534,,2383,
2024-03-06,22040,,14510,,11817,,2693,
2024-03-13,46974,,41572,,40408,,1164,
2024-03-20,10161,,10301,,4466,,5835,
2024-03-27,26403,,21283,,19927,,1355,
2024-05-01,5323,,2227,,1860,,367,
2024-05-08,25306,,12511,,10050,,2461,
2024-05-15,23383,,17777,,14775,,3001,
2024-05-22,24775,,19002,,15451,,3551,
2024-05-29,557,,421,,217,,204,
2024-06-05,22916,,14401,,13383,,1018,
2024-06-12,20345,,11773,,6829,,4944,
2024-06-18,-4556,,-8164,,-8269,,105,
2024-06-26,40433,,33862,,27798,,6064,
2024-07-02,26228,,22045,,20722,,1323,
2024-07-10,16561,,7425,,5803,,1621,
2024-07-17,54173,,40066,,39112,,954,
2024-07-24,37116,,28749,,30049,,-1300,
2025-09-03,29697,,17960,,14774,,3186,
2025-09-10,22223,,10297,,2203,,8094,
2025-09-17,28570,,19899,,10266,,9632,
2025-09-24,44515,,24730,,21360,,3370,
2025-10-01,39906,,31554,,25348,,6206,
2025-10-08,39554,,22338,,16964,,5374,
2026-01-28,40488,,24250,,4252,,19997,
2026-02-04,43054,,29726,,13654,,16072,
2026-02-11,41364,,24751,,13595,,11156,
2026-02-18,36831,,26550,,14058,,12492,
2026-02-25,62334,,27330,,8277,,19053,
